node_id,merged_id,first_absent,last_absent,first_persistent,last_persistent
5692549928996306944,0,0,0,0,0
5692549928996306945,0,0,0,0,0
5692549928996306946,0,0,0,0,0
5692549928996306947,0,0,0,0,0
5692549928996306948,0,0,0,0,25000000000
5692549928996306949,0,5000000000,0,0,25000000000
5692549928996306950,0,0,0,0,25000000000
5692549928996306951,0,0,0,0,0
5692549928996306952,0,0,0,0,0
5692549928996306953,0,0,0,0,0
5692549928996306954,0,0,0,0,0
5692549928996306955,0,0,0,0,0
5692549928996306956,0,0,0,0,0
5692549928996306957,0,0,0,0,0
5692549928996306958,0,0,0,0,0
5692549928996306959,0,0,0,0,0
5692549928996306960,0,0,0,0,0
5692549928996306961,0,20000000000,0,0,0
5692549928996306962,0,0,0,0,0
