label,eval_dir,map_name,query,background_p,background_r,background_f1,background_p05,background_r05,background_f1_05,background_p10,background_r10,background_f1_10,background_p20,background_r20,background_f1_20,object_p,object_r,object_f1,change_p,change_r,change_f1,change_tp,change_fp,change_fn,object_detected,object_missed,object_hallucinated,dynamic_p,dynamic_r,dynamic_f1
raw,session_update_baseline/rounds/round05_independent_ab/gate2_single/khronos_original_eval,0,223242999999,0.987914,0.979944,0.9839128603954147,0.864665,0.633729,0.7314008008374299,0.946311,0.932604,0.9394075025682375,0.987914,0.979944,0.9839128603954147,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
round09,session_update_baseline/rounds/round09_object_change_gated_injection/gate2_single/our_single_eval,0,223242999999,0.997421,0.981081,0.9891835258200395,0.815716,0.646468,0.721296760309236,0.976665,0.936233,0.9560217041839135,0.997421,0.981081,0.9891835258200395,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
round12_footprint,session_update_baseline/rounds/round12_horizontal_plane_fill/gate2_single/our_single_eval_footprint,0,223242999999,0.991823,0.987738,0.9897762851197817,0.809938,0.662148,0.7286243151881072,0.970028,0.953758,0.9618242000139309,0.991823,0.987738,0.9897762851197817,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
round13_graphcut,session_update_baseline/rounds/round13_graphcut_plane_fill/gate2_single/our_single_eval_graphcut,0,223242999999,0.991096,0.988034,0.9895626313218433,0.80801,0.719144,0.7609914172899394,0.969173,0.956683,0.9628874985035225,0.991096,0.988034,0.9895626313218433,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
