object_id,semantic_label,first_observed_ns,last_observed_ns,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz,bbox_volume,object_mesh_vertices,object_mesh_faces,dynamic_trajectory_points,dynamic_point_frames,global_vertices_in_bbox,global_vertices_in_bbox_same_label,vertices_candidate,vertices_removed,repair_candidate,repair_candidate_vertices,prior_matched,prior_match_object_id,prior_match_distance_m,session_state
5692549928996306978,2,0,18446744073709551615,-9.66621,38.1562,1.64821,0.829717,0.226643,0.254111,0.0477853,15126,5042,0,0,105,0,0,0,true,15126,false,0,inf,current
5692549928996306979,3,0,18446744073709551615,-9.11682,38.3072,1.8335,1.98946,0.58952,1.67436,1.96373,7422,2474,0,0,681,0,0,0,false,0,false,0,inf,current
5692549928996306980,2,0,18446744073709551615,-9.39512,32.1998,1.78594,0.596725,0.682146,0.0560279,0.0228063,3975,1325,0,0,156,0,0,0,true,3975,false,0,inf,current
5692549928996306981,3,0,61746510000,-8.04915,33.8476,1.98027,0.918276,0.0537872,0.15539,0.00767494,1146,382,0,0,65,0,0,0,false,0,false,0,inf,current
5692549928996306982,2,0,18446744073709551615,-10.0844,34.4345,1.91273,1.10428,0.758453,0.313014,0.262164,3714,1238,0,0,203,0,0,0,false,0,false,0,inf,current
5692549928996306983,11,0,18446744073709551615,-10.1979,32.4558,2.00493,0.747476,0.422565,0.614596,0.194125,10080,3360,0,0,229,0,0,0,true,10080,false,0,inf,current
5692549928996306984,3,0,18446744073709551615,-9.70463,34.6716,1.28573,1.54992,1.7066,0.563608,1.4908,5250,1750,0,0,835,0,0,0,false,0,false,0,inf,current
5692549928996306985,11,0,59721509999,-7.68174,35.1108,2.04698,0.517734,0.658005,0.560859,0.191068,36975,12325,0,0,136,0,0,0,true,36975,false,0,inf,current
5692549928996306986,3,0,18446744073709551615,-10.2097,34.2378,1.59364,1.71645,0.813896,0.89785,1.2543,4113,1371,0,0,681,0,0,0,false,0,false,0,inf,current
5692549928996306987,11,0,18446744073709551615,-10.1761,35.1596,1.1805,0.524166,0.559452,0.356714,0.104605,1431,477,0,0,48,0,0,0,true,1431,false,0,inf,current
5692549928996306988,3,0,18446744073709551615,-8.54149,35.7438,1.40993,0.544361,0.442989,0.746019,0.1799,5493,1831,0,0,144,0,0,0,true,5493,false,0,inf,current
5692549928996306989,11,0,18446744073709551615,-10.3527,35.1411,1.89664,0.800381,0.77869,0.82411,0.513626,35283,11761,0,0,288,0,0,0,true,35283,false,0,inf,current
5692549928996306990,3,0,18446744073709551615,-9.67822,34.6242,1.26956,1.38014,1.58716,0.531695,1.16468,7584,2528,0,0,722,0,0,0,false,0,false,0,inf,current
5692549928996306991,3,0,18446744073709551615,-7.83061,34.8809,1.97773,1.9854,2.11232,1.14708,4.81064,1713,571,0,0,1498,0,0,0,false,0,false,0,inf,current
5692549928996306992,2,0,18446744073709551615,-8.17072,34.6757,1.79156,0.528401,0.639011,0.0203646,0.00687621,1818,606,0,0,71,0,0,0,true,1818,false,0,inf,current
5692549928996306993,3,0,18446744073709551615,-9.00673,33.0414,1.56447,0.0613317,1.07811,0.998691,0.066036,2703,901,0,0,140,0,0,0,false,0,false,0,inf,current
5692549928996306994,2,0,64271509999,-7.06977,34.2758,1.98596,0.655403,0.391521,0.42702,0.109575,14892,4964,0,0,118,0,0,0,true,14892,false,0,inf,current
5692549928996306995,2,0,18446744073709551615,-9.7778,33.0655,2.00649,1.10069,1.45189,0.466448,0.745417,9051,3017,0,0,589,0,0,0,false,0,false,0,inf,current
5692549928996306996,2,0,18446744073709551615,-8.59114,36.1128,1.19189,0.364682,0.343761,0.385354,0.0483094,34041,11347,0,0,102,0,0,0,true,34041,false,0,inf,current
5692549928996306997,2,0,18446744073709551615,-9.32637,35.5389,1.93906,0.397314,1.12755,0.362377,0.162342,11073,3691,0,0,230,0,0,0,true,11073,false,0,inf,current
