frame,session,phase,session_checkpoint,session_time_s,source_time_s,ply,overlay,dynamic_history,dynamic_tracks,display_object_meshes,initial_vertices,removed_vertices,injected_vertices,final_vertices,prior_matched_objects,prior_restored_objects,prior_absent_objects,prior_unobserved_objects,cross_session_prior_vertices,cross_session_current_vertices,cross_session_prior_absent_vertices,cross_session_prior_persistent_vertices,cross_session_prior_unobserved_vertices,cross_session_current_injected_vertices
1,A,within_session,1,6.420002001,5.420002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,6.520002001,5.520002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,6.620002001,5.620002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,6.720002001,5.720002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,6.820002001,5.820002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,6.920002001,5.920002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.020002001,6.020002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.120002001,6.120002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.220002001,6.220002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.320002001,6.320002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.420002001,6.420002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.520002001,6.520002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.620002001,6.620002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.720002001,6.720002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.820002001,6.820002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,7.920002001,6.920002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,8.020002001,7.020002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.070002001,7.070002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.170002001,7.170002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.270002001,7.270002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.370002001,7.370002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.470002001,7.470002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.570002001,7.570002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.670002001,7.670002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.770002001,7.770002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.870002001,7.870002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.970002001,7.970002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.070002001,8.070002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.170002001,8.170002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.270002001,8.270002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.370002001,8.370002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.470002001,8.470002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.570002001,8.570002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.670002001,8.670002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.770002001,8.770002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.870002001,8.870002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,9.970002001,8.970002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,10.070002001,9.070002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,10.170002001,9.170002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,10.270002001,9.270002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,10.320002000,9.320002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,10.420002000,9.420002000,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
