label,eval_dir,map_name,query,background_p,background_r,background_f1,background_p10,background_r10,background_f1_10,background_p20,background_r20,background_f1_20,object_p,object_r,object_f1,change_p,change_r,change_f1,change_tp,change_fp,change_fn,object_detected,object_missed,object_hallucinated,dynamic_p,dynamic_r,dynamic_f1
B_from_scratch,session_update_baseline/rounds/round05_independent_ab/gate4_multi_metrics/B_from_scratch_eval,0,223242999999,0.987914,0.979944,0.9839128603954147,0.946311,0.932604,0.9394075025682375,0.987914,0.979944,0.9839128603954147,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
B_ours_with_memory,session_update_baseline/rounds/round05_independent_ab/gate4_multi_metrics/B_ours_eval,0,223242999999,0.996476,0.981114,0.9887353336778605,0.972461,0.936352,0.9540649631703054,0.996476,0.981114,0.9887353336778605,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
