variant,label,change_type,map_cloud,gt_cloud,map_points,gt_points,distance_voxel_size_m,removed_stale_map_points,precision_05cm,recall_05cm,f1_05cm,precision_10cm,recall_10cm,f1_10cm,precision_20cm,recall_20cm,f1_20cm
official_with_prior,SM_Chair_a,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Chair_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Chair_a.ply,1150,3153,0.02,,0.4547826086956522,0.5099904852521409,0.4808069477639908,0.5626086956521739,0.7903583888360292,0.6573145900426658,0.6504347826086957,0.9914367269267365,0.7855242364627343
official_with_prior,SM_Chair_b,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Chair_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Chair_b.ply,3006,2283,0.02,,0.43779108449767135,0.9978098992553658,0.6085706026413059,0.5791749833666001,1.0,0.7335159047819675,0.759148369926813,1.0,0.8630862329803328
official_with_prior,SM_Coffee_Machine_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Coffee_Machine_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Coffee_Machine_a.ply,1396,878,0.02,,0.45916905444126077,0.7835990888382688,0.5790371351705503,0.5687679083094556,0.8701594533029613,0.6878995915349531,0.8194842406876791,0.9863325740318907,0.8952004366196675
official_with_prior,SM_Cup_b,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Cup_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Cup_b.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
official_with_prior,SM_Cup_c,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Cup_c.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Cup_c.ply,0,80,0.02,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
official_with_prior,SM_Floor_Lamp_a,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Floor_Lamp_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Floor_Lamp_a.ply,1672,2833,0.02,,0.6626794258373205,0.9583480409459937,0.7835493753682387,0.7380382775119617,0.9901164842922697,0.8456926205386298,0.8594497607655502,1.0,0.9244129945320039
official_with_prior,SM_Journal_b,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Journal_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Journal_b.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
official_with_prior,SM_Laptop_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Laptop_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Laptop_a.ply,2170,1076,0.02,,0.4815668202764977,1.0,0.6500777604976672,0.5723502304147465,1.0,0.7280187573270809,0.7603686635944701,1.0,0.8638743455497382
official_with_prior,SM_Laptop_b,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Laptop_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Laptop_b.ply,0,0,0.02,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
official_with_prior,SM_Office_Chair_base_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Office_Chair_base_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Office_Chair_base_a.ply,1539,4579,0.02,,0.7056530214424951,0.7289801266652107,0.7171269249303855,0.7595841455490578,0.8397029919196332,0.7976367278758891,0.8693957115009746,0.9864599257479799,0.9242357129503573
official_with_prior,SM_Office_Chair_seat_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Office_Chair_seat_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Office_Chair_seat_a.ply,0,0,0.02,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
official_with_prior,SM_Picture_c,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Picture_c.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Picture_c.ply,3033,1523,0.02,,0.13847675568743817,1.0,0.24326672458731535,0.15265413781734258,1.0,0.26487414187643027,0.1793603692713485,1.0,0.3041655018171652
official_with_prior,SM_Picture_f,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Picture_f.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Picture_f.ply,0,2637,0.02,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
official_with_prior,SM_Plate_a,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Plate_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Plate_a.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
official_with_prior,SM_Plate_c,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Plate_c.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Plate_c.ply,0,53,0.02,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
official_with_prior,SM_Sofa_a,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Sofa_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Sofa_a.ply,4336,15096,0.02,,0.8514760147601476,0.9843004769475358,0.9130831026800783,0.897370848708487,0.9948993110757817,0.9436217492975184,0.9554889298892989,0.9997350291467939,0.9771113419081049
official_with_prior,SM_Table_b,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Table_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Table_b.ply,1389,3133,0.02,,0.49604031677465804,0.5505904883498245,0.5218938309802132,0.6018718502519799,0.6875199489307373,0.6418513038633822,0.7904967602591793,0.8921161825726142,0.838237878892789
ours_from_scratch,SM_Bed_a,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Bed_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Bed_a.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ours_from_scratch,SM_Bed_b,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Bed_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Bed_b.ply,3327,10360,0.02,,0.8289750525999399,0.9643822393822394,0.8915666958196794,0.8722572888488127,0.9938223938223938,0.9290801833197988,0.9350766456266907,1.0,0.9664492078285181
ours_from_scratch,SM_Chair_a,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Chair_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Chair_a.ply,1339,3153,0.02,,0.8483943241224795,1.0,0.917979797979798,0.8693054518297236,1.0,0.930083899320815,0.9185959671396564,1.0,0.9575710393149085
ours_from_scratch,SM_Chair_b,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Chair_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Chair_b.ply,2071,2283,0.02,,0.484789956542733,0.9964958388085852,0.6522592411364521,0.5427329792370835,1.0,0.7035993740219093,0.7165620473201352,1.0,0.8348804500703235
ours_from_scratch,SM_Coffee_Machine_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Coffee_Machine_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Coffee_Machine_a.ply,1396,878,0.02,,0.45916905444126077,0.7835990888382688,0.5790371351705503,0.5687679083094556,0.8701594533029613,0.6878995915349531,0.8194842406876791,0.9863325740318907,0.8952004366196675
ours_from_scratch,SM_Cup_b,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Cup_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Cup_b.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ours_from_scratch,SM_Cup_c,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Cup_c.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Cup_c.ply,0,80,0.02,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ours_from_scratch,SM_Floor_Lamp_a,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Floor_Lamp_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Floor_Lamp_a.ply,1672,2833,0.02,,0.6626794258373205,0.9587010236498411,0.7836673300247028,0.7380382775119617,0.9901164842922697,0.8456926205386298,0.8594497607655502,1.0,0.9244129945320039
ours_from_scratch,SM_Journal_b,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Journal_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Journal_b.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ours_from_scratch,SM_Laptop_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Laptop_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Laptop_a.ply,2167,1076,0.02,,0.4831564374711583,1.0,0.6515245799626633,0.5740655283802492,1.0,0.7294048666080328,0.7614213197969543,1.0,0.8645533141210375
ours_from_scratch,SM_Laptop_b,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Laptop_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Laptop_b.ply,0,0,0.02,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ours_from_scratch,SM_Office_Chair_base_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Office_Chair_base_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Office_Chair_base_a.ply,3899,4579,0.02,,0.6958194408822775,0.9997816117056125,0.8205556147769876,0.7566042575019236,1.0,0.8614396262228062,0.8602205693767633,1.0,0.9248586791672412
ours_from_scratch,SM_Office_Chair_seat_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/ours_from_scratch/SM_Office_Chair_seat_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Office_Chair_seat_a.ply,0,0,0.02,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
