variant,map_ply,gt_ply,map_points_raw,gt_points_raw,map_points_metric,gt_points_metric,distance_voxel_size_m,precision_05cm,recall_05cm,f1_05cm,precision_10cm,recall_10cm,f1_10cm,precision_20cm,recall_20cm,f1_20cm,voxel_precision_05cm,voxel_recall_05cm,voxel_f1_05cm,voxel_fpr_05cm,voxel_tp_05cm,voxel_fp_05cm,voxel_fn_05cm,voxel_tn_05cm,voxel_precision_10cm,voxel_recall_10cm,voxel_f1_10cm,voxel_fpr_10cm,voxel_tp_10cm,voxel_fp_10cm,voxel_fn_10cm,voxel_tn_10cm,voxel_precision_20cm,voxel_recall_20cm,voxel_f1_20cm,voxel_fpr_20cm,voxel_tp_20cm,voxel_fp_20cm,voxel_fn_20cm,voxel_tn_20cm
official_from_scratch,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/combined/official_from_scratch.ply,/ft/datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,885825,3116562,100634,316403,0.03,0.9965518611999921,0.7131853996327469,0.831386498576407,0.9999801260011527,0.7752707780899676,0.8734037183958815,1.0,0.8609115589928035,0.9252578982944916,0.845437270506208,0.5530807193330093,0.6687008063103532,0.008249916494189673,59173,10818,47815,1300468,0.8612962166809974,0.6170163618864293,0.7189735998026153,0.01510186886358583,16027,2581,9948,168325,0.9277438382136086,0.7230339845673945,0.8126960693854955,0.014926672178945994,4404,343,1687,22636
official_with_prior,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/combined/official_with_prior.ply,/ft/datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,967251,3116562,107553,316403,0.03,0.9945515234349577,0.8093760172943999,0.892459517200345,0.9980846652348144,0.8676656036763242,0.9283168792857273,0.9991632032579286,0.935989861031659,0.9665453808519884,0.8548064168981655,0.6384921673458706,0.7309820119634888,0.008848565454065703,68311,11603,38677,1299683,0.8698289863380148,0.7010202117420596,0.776354217740732,0.015944437293014875,18209,2725,7766,168181,0.9340869898447979,0.8003611886389755,0.8620689655172413,0.014970190173636799,4875,344,1216,22635
ours_from_scratch,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/combined/ours_from_scratch.ply,/ft/datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,934536,3116562,102732,316403,0.03,0.9965638749367286,0.7158655259273774,0.8332089160485283,0.9999805318693299,0.7768383991302231,0.8743977925783983,1.0,0.8610474616233095,0.9253363811283521,0.8449785066749897,0.556697947433357,0.6711931257923651,0.008333040999446345,59560,10927,47428,1300359,0.8609179415855355,0.6195957651588065,0.72058922295104,0.015213041086913274,16094,2600,9881,168306,0.9277159067030889,0.7248399277622722,0.8138248847926267,0.014970190173636799,4415,344,1676,22635
ours_with_prior,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/combined/ours_with_prior.ply,/ft/datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,1032720,3116562,111059,316403,0.03,0.9946514915495367,0.8125112593749111,0.8944026049946342,0.9981451300660009,0.8691826562959264,0.9292106526298498,0.999189619931748,0.9360530715574757,0.9665914429427185,0.8555680119581465,0.641987886491943,0.7335476429502104,0.008842464572945947,68685,11595,38303,1299691,0.8708154506437769,0.7030221366698749,0.7779742251570989,0.01585081857863387,18261,2709,7714,168197,0.933855859300325,0.8020029551797735,0.8629217452746866,0.015057226163018408,4885,346,1206,22633
negative_keep_unobserved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/combined/negative_keep_unobserved.ply,/ft/datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,1008156,3116562,111256,316403,0.03,0.973484576112749,0.8106781541262251,0.8846532503542762,0.9777989501689797,0.8687148984048824,0.9200348172990894,0.9816099805853168,0.9365334715536832,0.9585420754679734,0.8392109323341415,0.6405858600964595,0.7265682148271438,0.010013833747939046,68535,13131,38453,1298155,0.8522169789281876,0.702213666987488,0.7699776267465912,0.018507249599194878,18240,3163,7735,167743,0.9113475177304965,0.8016746018716139,0.8530002620316184,0.02067104747813221,4883,475,1208,22504
