variant,RMSE_m,UnknownPoints,TruncatedPoints,f1_05cm,f1_10cm,f1_20cm,voxel_precision_05cm,voxel_recall_05cm,voxel_fpr_05cm,voxel_precision_20cm,voxel_recall_20cm,voxel_fpr_20cm
official_with_prior,0.0131076,653662,197605,0.892459517200345,0.9283168792857273,0.9665453808519884,0.8548064168981655,0.6384921673458706,0.008848565454065703,0.9340869898447979,0.8003611886389755,0.014970190173636799
ours_with_prior,0.0131414,642390,196131,0.8944026049946342,0.9292106526298498,0.9665914429427185,0.8555680119581465,0.641987886491943,0.008842464572945947,0.933855859300325,0.8020029551797735,0.015057226163018408
ours_with_prior_pruned_no_copy,0.013159,646268,196279,0.8939157571629511,0.9290750455820288,0.9665819830292486,0.8552679229261104,0.6401559053351777,0.0088386515222461,0.9338432122370937,0.8018387785256936,0.015057226163018408
ours_with_prior_keep_unmatched,0.0131505,642177,196054,0.8944377803543515,0.9292151863233378,0.9665935817809623,0.8544105584967564,0.6426047781059558,0.008933977789742283,0.933855859300325,0.8020029551797735,0.015057226163018408
ours_with_prior_restore_only,0.0131644,646055,196202,0.8939774604127637,0.929089442857147,0.9665887766403908,0.8542431520913967,0.6415766254159345,0.008931689959322375,0.9338432122370937,0.8018387785256936,0.015057226163018408
ours_with_prior_visibility_memory,0.0131083,622056,209012,0.8961466470431013,0.9300642217362661,0.9666193097841165,0.8544737850161257,0.6463341683179422,0.00898125961842039,0.9337533409698359,0.8029880151042522,0.015100744157709213
ours_with_prior_visibility_c0326,0.0131068,621655,208494,0.8960591158133063,0.9298958591362498,0.9665583059279085,0.854141464016788,0.6467454293939507,0.0090110014138792,0.9329140461215933,0.8036447217205713,0.015318334131163236
negative_keep_unobserved,0.0130769,621804,238463,0.8846532503542762,0.9200348172990894,0.9585420754679734,0.8392109323341415,0.6405858600964595,0.010013833747939046,0.9113475177304965,0.8016746018716139,0.02067104747813221
