object_id,semantic_label,first_observed_ns,last_observed_ns,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz,bbox_volume,object_mesh_vertices,object_mesh_faces,dynamic_trajectory_points,dynamic_point_frames,global_vertices_in_bbox,global_vertices_in_bbox_same_label,vertices_candidate,vertices_removed,repair_candidate,repair_candidate_vertices,change_first_absent_ns,change_last_absent_ns,change_first_persistent_ns,change_last_persistent_ns,object_move_probability,skipped_by_object_move,object_alignment_applied,object_alignment_support_vertices,object_alignment_translation_norm_m,object_alignment_before_median_m,object_alignment_after_median_m,prior_matched,prior_match_object_id,prior_match_distance_m,prior_absent_evidence,prior_present_evidence,prior_stationarity_alpha,prior_stationarity_beta,prior_stationarity_mean,session_state
5692549928996306944,2,0,18446744073709551615,-13.5227,21.9018,1.68509,0.142992,0.141251,0.376223,0.00759885,3585,1195,0,0,25,0,0,0,true,3585,0,0,0,0,0.119203,false,false,0,0,0,0,true,5692549928996306947,0.348854,0,1,3,1,0.75,persistent_prior_matched
5692549928996306945,11,0,18446744073709551615,-15.045,22.2512,1.47411,0.924111,0.868414,0.945509,0.758781,19419,6473,0,0,503,0,0,0,true,19419,0,0,0,0,0.119203,false,false,0,0,0,0,true,5692549928996306948,0.0185348,0,1,3,1,0.75,persistent_prior_matched
5692549928996306946,2,0,18446744073709551615,-13.7244,21.6161,1.11372,0.485567,0.0523129,0.236334,0.00600322,1458,486,0,0,29,0,0,0,true,1458,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306947,11,0,18446744073709551615,-13.129,22.2472,1.47661,0.92854,0.877527,0.946492,0.77122,30126,10042,0,0,2687,0,2528,2528,false,0,0,0,0,0,0.119203,false,false,0,0,0,0,true,5692549928996306949,0.017794,0,1,3,1,0.75,persistent_prior_matched
5692549928996306948,15,0,18446744073709551615,-9.01928,26.7557,2.25613,0.238456,0.505598,2.0493,0.247069,2595,865,0,0,246,0,114,114,false,0,0,0,0,25000000000,0.00669285,false,false,0,0,0,0,true,5692549928996306953,0.0273285,0,1,3,1,0.75,persistent_prior_matched
5692549928996306949,11,7924999999,18446744073709551615,-8.59736,24.979,1.4815,0.805387,0.766447,0.936265,0.577943,14394,4798,0,0,412,0,0,0,true,14394,5000000000,0,0,25000000000,0.00669285,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306950,11,0,18446744073709551615,-8.73499,24.7848,1.48406,1.1611,1.1568,0.941214,1.26419,33621,11207,0,0,796,0,0,0,true,33621,0,0,0,25000000000,0.00669285,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306951,3,0,18446744073709551615,-8.44991,28.432,1.84623,0.16293,0.910631,1.70256,0.252608,8655,2885,0,0,220,0,0,0,true,8655,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306952,2,0,18446744073709551615,-13.1391,27.7594,1.79562,0.833553,0.636566,1.60806,0.853255,10176,3392,0,0,3648,0,2649,2649,false,0,0,0,0,0,0.119203,false,false,0,0,0,0,true,5692549928996306951,0.116188,0,1,3,1,0.75,persistent_prior_matched
5692549928996306953,4,0,18446744073709551615,-14.0102,32.9442,1.38769,0.745659,0.706665,0.77922,0.410595,40863,13621,0,0,294,0,0,0,true,40863,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306954,3,0,18446744073709551615,-14.4124,33.1039,2.72504,0.116743,3.81481,1.24056,0.552488,5826,1942,0,0,884,0,836,836,false,0,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306955,3,0,18446744073709551615,-10.841,33.3276,1.38539,0.609776,0.482639,0.77934,0.229361,11904,3968,0,0,169,0,0,0,true,11904,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306956,2,0,18446744073709551615,-9.50193,32.5139,1.80753,0.435727,0.378342,0.0435772,0.00718386,717,239,0,0,18,0,0,0,true,717,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306957,11,0,18446744073709551615,-10.2002,32.5274,1.65338,0.770812,0.65184,1.29414,0.650237,10026,3342,0,0,304,0,0,0,true,10026,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306958,3,0,18446744073709551615,-14.1592,29.2386,1.41007,0.643163,2.49513,0.824469,1.32309,9297,3099,0,0,1104,0,672,672,false,0,0,0,0,0,0.119203,false,false,0,0,0,0,true,5692549928996306952,0.243904,0,1,3,1,0.75,persistent_prior_matched
5692549928996306959,15,0,18446744073709551615,-14.4012,29.6401,2.68189,0.0532875,0.802383,0.605229,0.0258778,13395,4465,0,0,81,0,0,0,true,13395,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306960,3,0,18446744073709551615,-9.24628,32.1782,1.77892,1.4269,1.32624,1.53731,2.9092,7623,2541,0,0,398,0,133,133,false,0,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306961,3,21774999999,18446744073709551615,-14.1493,29.5888,1.41862,0.491254,0.858456,0.820532,0.346034,12456,4152,0,0,517,0,0,0,true,12456,20000000000,0,0,0,0.880797,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306962,2,0,18446744073709551615,-9.32423,31.3616,1.1945,0.337502,0.368021,0.386181,0.0479666,26172,8724,0,0,118,0,0,0,true,26172,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,new_or_moved_no_prior_match
5692549928996306963,2,0,0,-16.5055,24.3746,1.15999,0.143028,0.206758,0.137077,0.00405367,0,0,0,0,0,0,0,0,false,0,0,0,0,0,-1,false,false,0,0,0,0,false,5692549928996306944,inf,0,0,2,1,0.666667,unobserved_prior_memory
5692549928996306945,-1,0,0,-15.1121,25.5187,2.09774,0.452722,0.558862,1.47485,0.37315,0,0,0,0,0,0,0,0,false,0,0,0,0,0,-1,false,false,0,0,0,0,false,5692549928996306945,inf,5,0,2,6,0.25,absent_prior_conflict
5692549928996306964,2,0,0,-12.9731,27.7659,1.84232,0.524255,0.517765,1.42092,0.385696,4041,0,0,0,0,0,0,0,true,4041,0,0,0,0,-1,false,false,0,0,0,0,false,5692549928996306946,inf,6,10,12,7,0.631579,prior_supported_no_object_match
5692549928996306965,11,0,0,-11.8163,22.2512,1.47726,0.973603,0.868753,0.946558,0.800618,26337,0,0,0,0,0,0,0,true,26337,0,0,0,0,-1,false,false,0,0,0,0,false,5692549928996306950,inf,8,6,8,9,0.470588,prior_supported_no_object_match
5692549928996306966,2,0,0,-8.15044,27.1341,1.38989,0.417478,0.257788,0.802848,0.0864032,8514,0,0,0,0,0,836,836,true,8514,0,0,0,0,-1,false,false,0,0,0,0,false,5692549928996306954,inf,5,11,13,6,0.684211,prior_supported_no_object_match
