label,eval_dir,map_name,query,background_p,background_r,background_f1,object_p,object_r,object_f1,change_p,change_r,change_f1,change_tp,change_fp,change_fn,object_detected,object_missed,object_hallucinated,dynamic_p,dynamic_r,dynamic_f1
original,session_update_baseline/runs/loop08_full_original_eval_ready,4,215842999999,0.966349,0.894568,0.9290740986642607,1.0,0.13580246913580246,0.2391304347826087,0.3333333333333333,1.0,0.5,4.0,8.0,0.0,22.0,140.0,0.0,0.0,0.0,0.0
improved,session_update_baseline/runs/loop08_full_eval_ready,0,215842999999,0.965759,0.894214,0.9286104888898924,1.0,0.13580246913580246,0.2391304347826087,0.3333333333333333,1.0,0.5,4.0,8.0,0.0,22.0,140.0,0.0,0.0,0.0,0.0
