label,eval_dir,map_name,query,background_p,background_r,background_f1,object_p,object_r,object_f1,change_p,change_r,change_f1,change_tp,change_fp,change_fn,object_detected,object_missed,object_hallucinated,dynamic_p,dynamic_r,dynamic_f1
khronos_original,session_update_baseline/runs/round01_single_injection/original_eval,4,215842999999,0.966349,0.894568,0.9290740986642607,1.0,0.13580246913580246,0.2391304347826087,0.3333333333333333,1.0,0.5,4.0,8.0,0.0,22.0,140.0,0.0,0.0,0.0,0.0
our_single,session_update_baseline/runs/round01_single_injection/ours_eval,0,215842999999,0.981832,0.894755,0.9362732355707463,1.0,0.13580246913580246,0.2391304347826087,0.3333333333333333,1.0,0.5,4.0,8.0,0.0,22.0,140.0,0.0,0.0,0.0,0.0
