variant,map_ply,gt_ply,map_points_raw,gt_points_raw,map_points_metric,gt_points_metric,distance_voxel_size_m,precision_05cm,recall_05cm,f1_05cm,precision_10cm,recall_10cm,f1_10cm,precision_20cm,recall_20cm,f1_20cm,voxel_precision_05cm,voxel_recall_05cm,voxel_f1_05cm,voxel_fpr_05cm,voxel_tp_05cm,voxel_fp_05cm,voxel_fn_05cm,voxel_tn_05cm,voxel_precision_10cm,voxel_recall_10cm,voxel_f1_10cm,voxel_fpr_10cm,voxel_tp_10cm,voxel_fp_10cm,voxel_fn_10cm,voxel_tn_10cm,voxel_precision_20cm,voxel_recall_20cm,voxel_f1_20cm,voxel_fpr_20cm,voxel_tp_20cm,voxel_fp_20cm,voxel_fn_20cm,voxel_tn_20cm
official_from_scratch,session_update_baseline/rounds/base12_small_object_round02/mesh_current/combined/official_from_scratch.ply,datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,885825,3116562,100634,316403,0.03,0.9965518611999921,0.7131853996327469,0.831386498576407,0.9999801260011527,0.7752707780899676,0.8734037183958815,1.0,0.8609115589928035,0.9252578982944916,0.845437270506208,0.5530807193330093,0.6687008063103532,0.008249916494189673,59173,10818,47815,1300468,0.8612962166809974,0.6170163618864293,0.7189735998026153,0.01510186886358583,16027,2581,9948,168325,0.9277438382136086,0.7230339845673945,0.8126960693854955,0.014926672178945994,4404,343,1687,22636
official_with_prior,session_update_baseline/rounds/base12_small_object_round02/mesh_current/combined/official_with_prior.ply,datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,967251,3116562,107553,316403,0.03,0.9945515234349577,0.8093760172943999,0.892459517200345,0.9980846652348144,0.8676656036763242,0.9283168792857273,0.9991632032579286,0.935989861031659,0.9665453808519884,0.8548064168981655,0.6384921673458706,0.7309820119634888,0.008848565454065703,68311,11603,38677,1299683,0.8698289863380148,0.7010202117420596,0.776354217740732,0.015944437293014875,18209,2725,7766,168181,0.9340869898447979,0.8003611886389755,0.8620689655172413,0.014970190173636799,4875,344,1216,22635
ours_from_scratch_min500_r2,session_update_baseline/rounds/base12_small_object_round02/mesh_current/combined/ours_from_scratch_min500_r2.ply,datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,911904,3116562,100868,316403,0.03,0.9963516675258755,0.7150532706706321,0.8325843904053418,0.9999801721061189,0.7767783491306972,0.8743596138335226,1.0,0.8620272247734693,0.9259018485922964,0.8453493831903359,0.5553146147231465,0.6703033243263063,0.008288809611328116,59412,10869,47576,1300417,0.8617899249732047,0.6190952839268528,0.7205556177887308,0.015090166524288205,16081,2579,9894,168327,0.92854140395124,0.7253324577245116,0.8144529449718867,0.01479611819487358,4418,340,1673,22639
ours_with_prior_min500_r2,session_update_baseline/rounds/base12_small_object_round02/mesh_current/combined/ours_with_prior_min500_r2.ply,datasets/panoptic_mapping/flat_dataset/flat_2_gt_10000.ply,1001049,3116562,109419,316403,0.03,0.9944890741096153,0.8124986172697478,0.8943292767944997,0.9981173288002998,0.869249027348034,0.9292365307774237,0.9991774737477038,0.9361826531354001,0.9666548414766954,0.8551344895369379,0.6424458817811344,0.733687008315276,0.008879832469804451,68734,11644,38254,1299642,0.8700166706358656,0.7032146294513956,0.7777730466255057,0.015967841971610126,18266,2729,7709,168177,0.9335497422188276,0.8026596617960926,0.8631709039548022,0.015144262152400017,4889,348,1202,22631
