label,eval_dir,map_name,query,background_p,background_r,background_f1,background_p10,background_r10,background_f1_10,background_p20,background_r20,background_f1_20,object_p,object_r,object_f1,change_p,change_r,change_f1,change_tp,change_fp,change_fn,object_detected,object_missed,object_hallucinated,dynamic_p,dynamic_r,dynamic_f1
round09_hard,/home/jixian/Desktop/FT/session_update_baseline/rounds/round09_object_change_gated_injection/gate2_single/our_single_eval,0,223242999999,0.997421,0.981081,0.9891835258200395,0.976665,0.936233,0.9560217041839135,0.997421,0.981081,0.9891835258200395,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
p095,/home/jixian/Desktop/FT/session_update_baseline/rounds/round10_object_move_probability/sweep_p095/our_single_eval,0,223242999999,0.997451,0.981081,0.9891982788562429,0.97688,0.936252,0.956134604156953,0.997451,0.981081,0.9891982788562429,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
p090,/home/jixian/Desktop/FT/session_update_baseline/rounds/round10_object_move_probability/sweep_p090/our_single_eval,0,223242999999,0.997451,0.981081,0.9891982788562429,0.97688,0.936252,0.956134604156953,0.997451,0.981081,0.9891982788562429,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
p080,/home/jixian/Desktop/FT/session_update_baseline/rounds/round10_object_move_probability/sweep_p080/our_single_eval,0,223242999999,0.997429,0.981081,0.9891874600067728,0.976681,0.936194,0.9560090357331242,0.997429,0.981081,0.9891874600067728,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
p040,/home/jixian/Desktop/FT/session_update_baseline/rounds/round10_object_move_probability/sweep_p040/our_single_eval,0,223242999999,0.997429,0.981081,0.9891874600067728,0.976681,0.936194,0.9560090357331242,0.997429,0.981081,0.9891874600067728,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
p020,/home/jixian/Desktop/FT/session_update_baseline/rounds/round10_object_move_probability/sweep_p020/our_single_eval,0,223242999999,0.997399,0.981081,0.989172706642473,0.976461,0.936175,0.9558937264330484,0.997399,0.981081,0.989172706642473,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
