label,eval_dir,map_name,query,background_p,background_r,background_f1,background_p05,background_r05,background_f1_05,background_p10,background_r10,background_f1_10,background_p20,background_r20,background_f1_20,object_p,object_r,object_f1,change_p,change_r,change_f1,change_tp,change_fp,change_fn,object_detected,object_missed,object_hallucinated,dynamic_p,dynamic_r,dynamic_f1
raw_khronos,session_update_baseline/rounds/round05_independent_ab/gate2_single/khronos_original_eval,0,223242999999,0.987914,0.979944,0.9839128603954147,0.864665,0.633729,0.7314008008374299,0.946311,0.932604,0.9394075025682375,0.987914,0.979944,0.9839128603954147,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
old_full,session_update_baseline/rounds/round05_independent_ab/gate2_single/our_single_eval,0,223242999999,0.996476,0.981114,0.9887353336778605,0.807808,0.647282,0.7186903598485318,0.972461,0.936352,0.9540649631703054,0.996476,0.981114,0.9887353336778605,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
round09_hard,session_update_baseline/rounds/round09_object_change_gated_injection/gate2_single/our_single_eval,0,223242999999,0.997421,0.981081,0.9891835258200395,0.815716,0.646468,0.721296760309236,0.976665,0.936233,0.9560217041839135,0.997421,0.981081,0.9891835258200395,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
round10_prob_best,session_update_baseline/rounds/round10_object_move_probability/sweep_p095/our_single_eval,0,223242999999,0.997451,0.981081,0.9891982788562429,0.817075,0.646563,0.7218867824216096,0.97688,0.936252,0.956134604156953,0.997451,0.981081,0.9891982788562429,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
round10_expected_utility,session_update_baseline/rounds/round10_object_move_probability/expected_utility/our_single_eval,0,223242999999,0.997428,0.981081,0.9891869682351712,0.816674,0.646322,0.7215800631416627,0.976681,0.936182,0.9560027790197207,0.997428,0.981081,0.9891869682351712,0.9876543209876543,0.5161290322580645,0.6779661016949152,0.35294117647058826,0.8571428571428571,0.5,6.0,11.0,1.0,80.0,75.0,1.0,1.0,0.28076923076923077,0.4384384384384385
